City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Port Hedland,AU,82.45,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
8,Touros,BR,88.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
10,Inhambane,MZ,78.78,few clouds,-23.865,35.3833,Oceano
12,Bubaque,GW,78.78,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
13,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
21,Saint-Philippe,RE,80.19,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
22,Curvelo,BR,85.8,overcast clouds,-18.7564,-44.4308,Pontal Plaza Hotel
24,Butaritari,KI,81.7,broken clouds,3.0707,172.7902,Isles Sunset Lodge
26,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
28,Atuona,PF,76.87,light rain,-9.8,-139.0333,Villa Enata
30,Souillac,MU,80.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
35,Puerto Escondido,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
38,Port Alfred,ZA,75.9,overcast clouds,-33.5906,26.891,The Halyards Hotel
40,La Libertad,EC,82.06,light rain,-2.2333,-80.9,Playa Canela Hotel Boutique
44,Rikitea,PF,76.23,broken clouds,-23.1203,-134.9692,People ThankYou
47,Cape Town,ZA,88.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
52,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
56,Saint-Pierre,RE,80.28,few clouds,-21.3393,55.4781,Lindsey Hôtel
58,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
61,Salinopolis,BR,80.01,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
64,Bredasdorp,ZA,75.27,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
68,Kavieng,PG,81.05,light rain,-2.5744,150.7967,Nusa Island Retreat
83,Balabac,PH,80.6,clear sky,7.9868,117.0645,Sing and Swing Lodge
87,Mar Del Plata,AR,86.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
88,Caravelas,BR,87.22,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
90,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
92,Hermanus,ZA,87.91,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
93,Martapura,ID,78.89,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
99,Faanui,PF,79.77,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
107,Kupang,ID,81.18,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
113,Arraial Do Cabo,BR,87.76,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
116,Vaini,TO,80.46,overcast clouds,-21.2,-175.2,Keleti Beach Resort
