City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,San Patricio,US,28.017,-97.5169,68.41,51,0,8.63,clear sky
1,Aklavik,CA,68.2191,-135.0107,1.4,78,75,5.75,light snow
2,Ushuaia,AR,-54.8,-68.3,47.86,66,75,25.32,broken clouds
3,Esperance,AU,-33.8667,121.9,69.64,60,59,8.57,light rain
4,Port Hedland,AU,-20.3167,118.5667,82.45,83,40,17.27,scattered clouds
5,Hovd,MN,48.0056,91.6419,-12.68,82,19,2.19,few clouds
6,Saskylakh,RU,71.9167,114.0833,-18.44,100,100,2.91,overcast clouds
7,Narsaq,GL,60.9167,-46.05,10.62,61,100,6.17,overcast clouds
8,Touros,BR,-5.1989,-35.4608,88.7,63,22,15.86,few clouds
9,Yumen,CN,40.2833,97.2,16.75,43,100,8.03,overcast clouds
10,Inhambane,MZ,-23.865,35.3833,78.78,78,20,4.61,few clouds
11,Eureka,US,40.8021,-124.1637,46.92,92,89,5.01,overcast clouds
12,Bubaque,GW,11.2833,-15.8333,78.78,56,23,12.64,few clouds
13,Puerto Ayora,EC,-0.7393,-90.3518,82.36,71,100,9.46,overcast clouds
14,Kapaa,US,22.0752,-159.319,71.92,75,20,1.01,few clouds
15,Sitka,US,57.0531,-135.33,35.49,80,100,11.5,overcast clouds
16,Portland,US,45.5234,-122.6762,44.11,77,75,1.01,broken clouds
17,Bagotville,AU,-28.9833,153.4167,72.64,91,76,5.03,broken clouds
18,Jamestown,US,42.097,-79.2353,18.52,43,76,7.0,broken clouds
19,Busselton,AU,-33.65,115.3333,64.09,78,0,18.52,clear sky
20,Chokurdakh,RU,70.6333,147.9167,-29.6,89,36,1.16,scattered clouds
21,Saint-Philippe,RE,-21.3585,55.7679,80.19,77,68,11.54,broken clouds
22,Curvelo,BR,-18.7564,-44.4308,85.8,48,99,10.18,overcast clouds
23,Bethel,US,41.3712,-73.414,23.88,51,0,1.99,clear sky
24,Butaritari,KI,3.0707,172.7902,81.7,78,74,21.27,broken clouds
25,Callaway,US,30.153,-85.5699,59.18,59,0,3.0,clear sky
26,Bambous Virieux,MU,-20.3428,57.7575,80.85,78,75,14.97,light rain
27,Nikolskoye,RU,59.7035,30.7861,30.7,94,100,7.92,snow
28,Atuona,PF,-9.8,-139.0333,76.87,79,9,12.1,light rain
29,Severo-Kurilsk,RU,50.6789,156.125,26.37,92,100,15.28,light snow
30,Souillac,MU,-20.5167,57.5167,80.98,78,75,14.97,light rain
31,Bluff,NZ,-46.6,168.3333,58.8,92,85,2.48,overcast clouds
32,Lompoc,US,34.6391,-120.4579,69.13,40,0,3.0,clear sky
33,Codrington,AU,-38.2667,141.9667,61.7,98,6,7.36,clear sky
34,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,78,100,18.41,light snow
35,Puerto Escondido,MX,15.85,-97.0667,83.23,74,0,6.91,clear sky
36,Parkes,AU,-33.1333,148.1833,70.36,82,3,1.01,clear sky
37,Upernavik,GL,72.7868,-56.1549,-4.58,74,100,9.86,overcast clouds
38,Port Alfred,ZA,-33.5906,26.891,75.9,84,87,21.12,overcast clouds
39,Warmbad,NA,-28.45,18.7333,79.68,51,99,19.42,light rain
40,La Libertad,EC,-2.2333,-80.9,82.06,65,0,9.22,light rain
